Model,Mean_TVD,Num_Variables
anthropic/claude-3.7-sonnet,0.16502810636480375,46
anthropic/claude-sonnet-4.5,0.16624326153096422,46
moonshotai/kimi-k2,0.17397365017849084,46
deepseek/deepseek-chat-v3-0324,0.1879361556325606,46
x-ai/grok-4-fast,0.188649717836098,46
deepcogito/cogito-v2-preview-llama-405b,0.18911434994037676,46
openai/gpt-5,0.19339341549844058,46
z-ai/glm-4.6,0.19874685706589587,46
openai/gpt-5-mini,0.19915686006174346,46
Nemo 2,0.19936685584537628,46
mistralai/mistral-nemo,0.19936685584537628,46
ai21/jamba-large-1.7,0.19950013034576072,46
cohere/command-r-plus-08-2024,0.20277724257424715,46
mistralai/mistral-nemo,0.20484114454907762,46
openai/gpt-oss-120b,0.21604419940997102,46
mistralai/mistral-large-2512,0.22126799556110674,46
deepseek/deepseek-v3.2-20251201,0.22135975804000482,46
google/gemini-2.5-flash,0.22273054580376864,46
qwen/qwen-2.5-72b-instruct,0.2258819992923239,46
mistralai/mistral-medium-3.1,0.2262760126847447,46
meta-llama/llama-4-maverick,0.22975120731994034,46
mistralai/mistral-small-3.2-24b-instruct,0.23352379290098788,46
deepseek/deepseek-chat-v3.1,0.2339052587428499,46
qwen/qwen3-235b-a22b-2507,0.25084161755101253,46
google/gemini-2.5-flash-lite,0.2551848996581712,46
meta-llama/llama-3.3-70b-instruct,0.26081331141793623,46
openai/gpt-4o-mini,0.26341755145786616,46
google/gemma-3-12b-it,0.2713162799831591,46
meta-llama/llama-3.1-8b-instruct,0.272307899403575,46
allenai/olmo-3-7b-instruct,0.41323875438586355,46
minimax/minimax-m2,0.44285072570043493,37
arcee-ai/trinity-mini,,0
